Mod:Item:MetaData, Localized Name
hbm:fluid_barrel_full:0, Жидкостная бочка: Мазут
hbm:fluid_barrel_full:0, Жидкостная бочка: Восстановленное индустриальное масло
hbm:fluid_barrel_full:0, Жидкостная бочка: Бензин
hbm:fluid_barrel_full:0, Жидкостная бочка: Гидроразрывающий растворитель
hbm:fluid_barrel_full:0, Жидкостная бочка: Машинная смазка
hbm:fluid_barrel_full:0, Жидкостная бочка: Нафта
hbm:fluid_barrel_full:0, Жидкостная бочка: Дизель
hbm:fluid_barrel_full:0, Жидкостная бочка: Лигроин
hbm:fluid_barrel_full:0, Жидкостная бочка: Керосин
hbm:fluid_barrel_full:0, Жидкостная бочка: Природный газ
hbm:fluid_barrel_full:0, Жидкостная бочка: Нефтяной газ
hbm:fluid_barrel_full:0, Жидкостная бочка: Ароматические углеводороды
hbm:fluid_barrel_full:0, Жидкостная бочка: Ненасыщенные углеводороды
hbm:fluid_barrel_full:0, Жидкостная бочка: Биогаз
hbm:fluid_barrel_full:0, Жидкостная бочка: Биотопливо
hbm:fluid_barrel_full:0, Жидкостная бочка: Этанол
hbm:fluid_barrel_full:0, Жидкостная бочка: Рыбий жир
hbm:fluid_barrel_full:0, Жидкостная бочка: Подсолнечное масло
hbm:fluid_barrel_full:0, Жидкостная бочка: Коллоид
hbm:fluid_barrel_full:0, Жидкостная бочка: NITAN© 100-октановое супертопливо
hbm:fluid_barrel_full:0, Жидкостная бочка: Гексафторид урана
hbm:fluid_barrel_full:0, Жидкостная бочка: Гексафторид плутония
hbm:fluid_barrel_full:0, Жидкостная бочка: Трисульфид шрабидия
hbm:fluid_barrel_full:0, Жидкостная бочка: Антивещество
hbm:fluid_barrel_full:0, Жидкостная бочка: Антишрабидиум
hbm:fluid_barrel_full:0, Жидкостная бочка: Пероксид водорода
hbm:fluid_barrel_full:0, Жидкостная бочка: Серная кислота
hbm:fluid_barrel_full:0, Жидкостная бочка: Азотная кислота
hbm:fluid_barrel_full:0, Жидкостная бочка: Растворитель
hbm:fluid_barrel_full:0, Жидкостная бочка: Высокоэффективный растворитель
hbm:fluid_barrel_full:0, Жидкостная бочка: Нитроглицерин
hbm:fluid_barrel_full:0, Жидкостная бочка: Осмиридиевый растворитель
hbm:fluid_barrel_full:0, Жидкостная бочка: Ядовитая грязь
hbm:fluid_barrel_full:0, Жидкостная бочка: Криогель
hbm:fluid_barrel_full:0, Жидкостная бочка: Жидкий водород
hbm:fluid_barrel_full:0, Жидкостная бочка: Жидкий кислород
hbm:fluid_barrel_full:0, Жидкостная бочка: Ксеноновый газ
hbm:fluid_barrel_full:0, Жидкостная бочка: Жар-ракетное топливо
hbm:fluid_barrel_full:0, Жидкостная бочка: Ртуть
hbm:fluid_barrel_full:0, Жидкостная бочка: Дейтериево-тритиевая плазма
hbm:fluid_barrel_full:0, Жидкостная бочка: Водородно-дейтериевая плазма
hbm:fluid_barrel_full:0, Жидкостная бочка: Водородно-тритиевая плазма
hbm:fluid_barrel_full:0, Жидкостная бочка: Плутониево-тритиевая плазма
hbm:fluid_barrel_full:0, Жидкостная бочка: Ксенон-ртутная плазма
hbm:fluid_barrel_full:0, Жидкостная бочка: Жар-плазма
hbm:fluid_barrel_full:0, Жидкостная бочка: Раствор танталита пандемониума (III)
hbm:fluid_barrel_full:0, Жидкостная бочка: Жидкие ядерные отходы
hbm:fluid_barrel_full:0, Жидкостная бочка: Газообразные ядерные отходы
hbm:fluid_barrel_full:0, Жидкостная бочка: Этилированный бензин
hbm:fluid_barrel_full:0, Жидкостная бочка: Эссенция знаний
hbm:fluid_barrel_full:0, Жидкостная бочка: Стереотипная зелёная слизь
hbm:fluid_barrel_full:0, Жидкостная бочка: Радиоактивная вода
hbm:fluid_barrel_full:0, Жидкостная бочка: Токсичные отходы
hbm:fluid_barrel_full:0, Жидкостная бочка: Шрабидиевая кислота
hbm:fluid_barrel_full:0, Жидкостная бочка: Кориум
hbm:fluid_barrel_full:0, Жидкостная бочка: Вулканическая лава
hbm:fluid_barrel_full:0, Жидкостная бочка: Мёртвая кровь
hbm:fluid_barrel_full:0, Жидкостная бочка: Кислоты Крипера
hbm:fluid_barrel_full:0, Жидкостная бочка: Молоко
hbm:fluid_barrel_full:0, Жидкостная бочка: Креозот
hbm:fluid_barrel_full:0, Жидкостная бочка: Разжиженный уголь
hbm:fluid_barrel_full:0, Жидкостная бочка: Сырая нефть
hbm:fluid_barrel_full:0, Жидкостная бочка: Нефть
hbm:fluid_barrel_full:0, Жидкостная бочка: Очищенное топливо
hbm:fluid_barrel_full:0, Жидкостная бочка: Сок
hbm:fluid_barrel_full:0, Жидкостная бочка: Сироп
hbm:fluid_barrel_full:0, Жидкостная бочка: Смола
hbm:fluid_barrel_full:0, Жидкостная бочка: Древесное масло
hbm:fluid_barrel_full:0, Жидкостная бочка: Растительное масло
hbm:fluid_barrel_full:0, Жидкостная бочка: Бионефть
hbm:fluid_barrel_full:0, Жидкостная бочка: Биотопливо
hbm:fluid_barrel_full:0, Жидкостная бочка: Тушёные грибы
hbm:fluid_barrel_full:0, Жидкостная бочка: Зелье
hbm:fluid_barrel_full:0, Жидкостная бочка: Взрывное зелье
hbm:fluid_barrel_full:0, Жидкостная бочка: Туманное зелье
hbm:fluid_barrel_full:0, Жидкостная бочка: Дестабилизированный красный камень
hbm:fluid_barrel_full:0, Жидкостная бочка: Заряженный светящийся камень
hbm:fluid_barrel_full:0, Жидкостная бочка: Резонирующий эндериум
hbm:fluid_barrel_full:0, Жидкостная бочка: Пылающий пиротеум
hbm:fluid_barrel_full:0, Жидкостная бочка: Ледяной криотеум
hbm:fluid_barrel_full:0, Жидкостная бочка: Невесомый аэротеум
hbm:fluid_barrel_full:0, Жидкостная бочка: Тектонический петротеум
hbm:fluid_barrel_full:0, Жидкостная бочка: Изначальная мана
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленная платина
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный иридий
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный инвар
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный константан
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный синал
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный ламиум
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный эндериум
hbm:fluid_barrel_full:0, Жидкостная бочка: Растительное масло
hbm:fluid_barrel_full:0, Жидкостная бочка: Биодизель
hbm:fluid_barrel_full:0, Жидкостная бочка: Жидкий бетон
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный уран
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный камень
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленный обсидиан
hbm:fluid_barrel_full:0, Жидкостная бочка: Расплавленная глина
hbm:fluid_barrel_full:0, Жидкостная бочка: Жидкая земля
hbm:fluid_barrel_full:0, Жидкостная бочка: Жидкий изумруд
hbm:fluid_barrel_full:0, Жидкостная бочка: Жидкое стекло
hbm:fluid_barrel_full:0, Жидкостная бочка: Синяя слизь
hbm:fluid_barrel_full:0, Жидкостная бочка: Фиолетовая слизь
hbm:fluid_barrel_full:0, Жидкостная бочка: fluid.liquidpoop
hbm:fluid_barrel_infinite, Бесконечная жидкостная бочка
hbm:inf_water, Бесконечный резервуар воды
hbm:inf_water_mk2, Промышленный бесконечный резервуар воды
hbm:inf_water_mk3, Огромный бесконечный резервуар воды
hbm:inf_water_mk4, Гигантский бесконечный резервуар воды
hbm:detonator, Детонатор
hbm:detonator_multi, Мульти-детонатор
hbm:detonator_laser, Лазерный детонатор
hbm:detonator_deadman, Детонатор мертвеца
hbm:detonator_de, Взрывчатка мертвеца
hbm:igniter, Зажигатель
hbm:chopper, Вертолёт-охотник
hbm:spawn_worm, Баллс-О-Трон Прайм
hbm:spawn_ufo, Марсианский корабль вторжения
hbm:bomb_caller:0, Устройство для обозначения авиаудара
hbm:bomb_caller:0, Устройство для обозначения авиаудара
hbm:bomb_caller:0, Устройство для обозначения авиаудара
hbm:bomb_caller:0, Устройство для обозначения авиаудара
hbm:bomb_caller:0, Устройство для обозначения авиаудара
hbm:crate_caller, Запросчик поставки припасов
hbm:meteor_remote, Устройство для вызова метеоритн
hbm:hazmat_helmet, Защитный шлем
hbm:hazmat_plate, Защитный нагрудник
hbm:hazmat_legs, Защитные поножи
hbm:hazmat_boots, Защитные ботинки
hbm:hazmat_helmet_red, Улучшенный защитный шлем
hbm:hazmat_plate_red, Улучшенный защитный нагрудник
hbm:hazmat_legs_red, Улучшенный защитные поножи
hbm:hazmat_boots_red, Улучшенный защитные ботинки
hbm:hazmat_helmet_grey, Высокоэффективный защитный шлем
hbm:hazmat_plate_grey, Высокоэффективный защитный нагрудник
hbm:hazmat_legs_grey, Высокоэффективные защитные поножи
hbm:hazmat_boots_grey, Высокоэффективные защитные ботинки
hbm:liquidator_helmet, Шлем костюма Ликвидатора
hbm:liquidator_plate, Нагрудник костюма Ликвидатора
hbm:liquidator_legs, Поножи костюма Ликвидатора
hbm:liquidator_boots, Ботинки костюма Ликвидатора
hbm:hazmat_paa_helmet, Боевой защитный шлем PaA
hbm:hazmat_paa_plate, Боевой защитный нагрудник PaA
hbm:hazmat_paa_legs, Боевые защитные поножи PaA
hbm:hazmat_paa_boots, Боевые защитные ботинки PaA
hbm:paa_helmet, Защитный шлем PaA 
hbm:paa_plate, Защищающая грудная пластина из PaA
hbm:paa_legs, Укреплённые поножи из PaA
hbm:paa_boots, "Старые добрые ботинки" из PaA
hbm:australium_iii, Увеличитель жизни Марк III
hbm:asbestos_helmet, Огнезащитный шлем
hbm:asbestos_plate, Огнезащитный нагрудник
hbm:asbestos_legs, Огнезащитные поножи
hbm:asbestos_boots, Огнезащитные ботинки
hbm:euphemium_helmet, Эвфемиевый шлем
hbm:euphemium_plate, Эвфемиевый нагрудник
hbm:euphemium_legs, Эвфемиевые поножи
hbm:euphemium_boots, Эвфемиевые ботинки
hbm:jackt, Чертовски стильная баллистическая куртка
hbm:jackt2, Чертовски стильная баллистическая куртка 2: Токийский Дрифт
hbm:chainsaw, Бензопила
hbm:steel_helmet, Стальной шлем
hbm:steel_plate, Стальной нагрудник
hbm:steel_legs, Стальные поножи
hbm:steel_boots, Стальные ботинки
hbm:titanium_helmet, Титановый шлем
hbm:titanium_plate, Титановый нагрудник
hbm:titanium_legs, Титановые поножи
hbm:titanium_boots, Титановые ботинки
hbm:alloy_helmet, Шлем из продвинутого сплава
hbm:alloy_plate, Нагрудник из продвинутого сплава
hbm:alloy_legs, Поножи из продвинутого сплава
hbm:alloy_boots, Ботинки из продвинутого сплава
hbm:cobalt_helmet, Кобальтовый шлем
hbm:cobalt_plate, Кобальтовый нагрудник
hbm:cobalt_legs, Кобальтовые поножи
hbm:cobalt_boots, Кобальтовые ботинки
hbm:security_helmet, Шлем охранника
hbm:security_plate, Нагрудник охранника
hbm:security_legs, Поножи охранника
hbm:security_boots, Ботинки охранника
hbm:starmetal_helmet, Шлем из звёздного металла
hbm:starmetal_plate, Нагрудник из звёздного металла
hbm:starmetal_legs, Поножи из звёздного металла
hbm:starmetal_boots, Ботинки из звёздного металла
hbm:cmb_helmet, Шлем из CMB-стали
hbm:cmb_plate, Нагрудник из CMB-стали
hbm:cmb_legs, Поножи из CMB-стали
hbm:cmb_boots, Ботинки из CMB-стали
hbm:schrabidium_helmet, Шрабидиевый шлем
hbm:schrabidium_plate, Шрабидиевый нагрудник
hbm:schrabidium_legs, Шрабидиевые поножи
hbm:schrabidium_boots, Шрабидиевые ботинки
hbm:t45_helmet, Шлем силовой брони T45
hbm:t45_plate, Нагрудник силовой брони T45
hbm:t45_legs, Поножи силовой брони T45
hbm:t45_boots, Ботинки силовой брони T45
hbm:ajr_helmet, Шлем Стальных Рейнджеров
hbm:ajr_plate, Нагрудник Стальных Рейнджеров
hbm:ajr_legs, Поножи Стальных Рейнджеров
hbm:ajr_boots, Ботинки Стальных Рейнджеров
hbm:ajro_helmet, Шлем силовой брони AJR
hbm:ajro_plate, Нагрудник силовой брони AJR
hbm:ajro_legs, Поножи силовой брони AJR
hbm:ajro_boots, Ботинки силовой брони AJR
hbm:hev_helmet, Шлем H.E.V Модели IV
hbm:hev_plate, Нагрудник H.E.V Модели IV
hbm:hev_legs, Поножи H.E.V Модели IV
hbm:hev_boots, Ботинки H.E.V Модели IV
hbm:bj_helmet, Повязка с тепловым сенсором
hbm:bj_plate, Лунная кибернетическая обшивка
hbm:bj_plate_jetpack, Лунная кибернетическая обшивка (с крыльями)
hbm:bj_legs, Лунные кибернетические замены ног
hbm:bj_boots, Лунные шипованные ботинки
hbm:rpa_helmet, Шлем Анклава
hbm:rpa_plate, Нагрудник Анклава
hbm:rpa_legs, Поножи Анклава
hbm:rpa_boots, Ботинки Анклава
hbm:fau_helmet, Фау-шлем
hbm:fau_plate, Фау-нагрудник
hbm:fau_legs, Фау-поножи
hbm:fau_boots, Фау-ботинки
hbm:dns_helmet, Шлем ДНТ-нанокостюма
hbm:dns_plate, Нагрудник ДНТ-нанокостюма
hbm:dns_legs, Поножи ДНТ-нанокостюма
hbm:dns_boots, Ботинки ДНТ-нанокостюма
hbm:goggles, Защитные очки
hbm:ashglasses, Пепельные очки
hbm:mask_rag, Тряпичная защитная маска
hbm:mask_damp, Влажная тряпичная защитная маска
hbm:mask_piss, Траншейный противогаз
hbm:gas_mask, Противогаз
hbm:gas_mask_m65, Противогаз M65-Z
hbm:gas_mask_mono, Полумаска
hbm:nossy_hat, Сказочная шляпа
hbm:beta, БЕТА-ФУНКЦИИ
hbm:jetpack_fly, Реактивный ранец
hbm:jetpack_break, Строительный ранец
hbm:jetpack_vector, Векторный реактивный ранец
hbm:jetpack_boost, Импульсный ранец
hbm:jetpack_glider, Планер Джетпак
hbm:wings_murk, Мрачные крылья
hbm:wings_limp, Хромые крылья
hbm:cape_radiation, Плащ (Радиация)
hbm:cape_gasmask, Плащ (Противогаз)
hbm:cape_schrabidium, Плащ (Шрабидий)
hbm:schrabidium_hammer, Шрабидиевый молот
hbm:shimmer_sledge, Отлитая кувалда
hbm:shimmer_axe, Отлитый топор
hbm:ullapool_caber, Аллапульское бревно 
hbm:euphemium_stopper, Ограничитель
hbm:matchstick, Спичка
hbm:balefire_and_steel, Жар-огниво
hbm:wrench, Газовый ключ
hbm:wrench_flipped, Лезвие на гаечном ключе
hbm:memespoon, §eЗемлекоп
hbm:wood_gavel, Деревянный молоток
hbm:lead_gavel, Свинцовый молоток
hbm:diamond_gavel, Алмазный молоток
hbm:mese_gavel, Месе молоток
hbm:multitool_hit, Силовая перчатка (Кулак)
hbm:multitool_dig, Силовая перчатка (Добывающий коготь)
hbm:multitool_silk, Силовая перчатка (Коготь шёлкового касания)
hbm:multitool_ext, Силовая перчатка (Извлекатель руды)
hbm:multitool_miner, Силовая перчатка (Добывающий лазер)
hbm:multitool_beam, Силовая перчатка (Заппер)
hbm:multitool_sky, Силовая перчатка (Небесный разлом)
hbm:multitool_mega, Силовая Перчатка (Суперудар)
hbm:multitool_joule, Силовая Перчатка (Гигаджоуль)
hbm:multitool_decon, Силовая Перчатка (Обеззараживатель)
hbm:gun_b92, §9Энергетический бластер B92§r
hbm:gun_b93, §cМодифицированный бластер B93§r
hbm:gun_revolver_iron, Простой револьвер
hbm:gun_revolver, Усовершенствованный револьвер
hbm:gun_revolver_saturnite, Сатурнитовый револьвер
hbm:gun_revolver_gold, Золотой револьвер
hbm:gun_revolver_lead, Ядерный револьвер
hbm:gun_revolver_schrabidium, Шрабидиевый револьвер
hbm:gun_revolver_cursed, Проклятый револьвер
hbm:gun_revolver_nightmare, Кошмарный револьвер (Оригинал)
hbm:gun_revolver_nightmare2, Кошмарный револьвер (Тёмный)
hbm:gun_revolver_pip, Лил' Пипсквик
hbm:gun_revolver_nopip, Новак
hbm:gun_revolver_blackjack, Пятизарядный револьвер Блэкджек
hbm:gun_revolver_silver, Одолженный пистолет
hbm:gun_revolver_red, Револьвер с красным ключом
hbm:gun_deagle, Биг Айрон
hbm:gun_flechette, Игольчатая винтовка
hbm:gun_ar15, "Джош"
hbm:gun_uboinik, Убойник
hbm:gun_supershotgun, Супердробовик
hbm:gun_jshotgun, Оккультный дробовик
hbm:gun_ks23, Сэмюэль Большой Дробовик
hbm:gun_sauer, Дробовик Стэна Зауэра
hbm:gun_calamity, Каламити
hbm:gun_calamity_dual, Боевое седло
hbm:gun_minigun, Персональный миниган CZ53
hbm:gun_avenger, CZ57 “Авенджер”
hbm:gun_lacunae, CZ33 “Абаддон”
hbm:gun_bolt_action, Винтовка со скользящим затвором (оригинал)
hbm:gun_bolt_action_green, Винтовка со скользящим затвором (зелёный)
hbm:gun_uzi, IMI Узи
hbm:gun_uzi_silencer, IMI Узи с глушителем
hbm:gun_uzi_saturnite, Сатурнитовый Узи
hbm:gun_uzi_saturnite_silencer, Сатурнитовый Узи с глушителем
hbm:gun_mp40, Пистолет-пулемёт
hbm:gun_thompson, Пистолет-пулемёт Томпсона
hbm:gun_rpg, Безоткатная Винтовка “Карл Густав”
hbm:gun_karl, Карл
hbm:gun_panzerschreck, Панцершрек
hbm:gun_quadro, "Четыре Сыра"
hbm:gun_lever_action, «Нога кобылы» (Оригинал)
hbm:gun_lever_action_dark, «Нога кобылы» (Тёмный)
hbm:gun_hk69, Гранатомет
hbm:gun_spark, Спарк-Плаг
hbm:gun_fatman, М42 Атомная катапульта "Толстяк"
hbm:gun_proto, М42 Ядерная катапульта "Прото МИРВ"
hbm:gun_mirv, M42 Ядерная катапульта "Экспериментальный МИРВ"
hbm:gun_bf, BEL
hbm:gun_zomg, ZOMG-пушка
hbm:gun_xvl1456, Прототип Тау-пушки XVL1456
hbm:gun_hp, HPP Лазерджет
hbm:gun_defabricator, Дефабрикатор
hbm:gun_vortex, Вихрь
hbm:cc_plasma_gun, [WIP] Плазменная пушка CC
hbm:gun_egon, Глюонная пушка
hbm:gun_euthanasia, Эвтаназия
hbm:gun_stinger, FIM-92 "Стингер"
hbm:gun_skystinger, "Небесный Стингер"
hbm:gun_mp, Пулемет Пацифистов
hbm:gun_bolter, Болтер
hbm:gun_brimstone, Серная лазерная пушка
hbm:gun_cryolator, Криолятор
hbm:gun_jack, Отбойный молоток
hbm:gun_immolator, Иммолятор
hbm:gun_flamer, Мистер Топаз
hbm:gun_osipr, Импульсная винтовка Патруля
hbm:gun_emp, ЭМИ-пушка
hbm:gun_moist_nugget, Мосин-Наган
hbm:gun_super_shotgun, Супердробовик
hbm:gun_revolver_inverted, Перевернутый револьвер
hbm:gun_lever_action_sonata, Перевёрнутая «Нога кобылы»
hbm:gun_bolt_action_saturnite, Сатурнитовая винтовка
hbm:gun_folly, Прототип Дигамма "Причуда"
hbm:gun_dampfmaschine, Совершенно не шуточное оружие
hbm:gun_darter, Дротиковый пистолет
hbm:crucible, "Горнило Палача"
hbm:hs_sword, Сверхтвердый стальной меч
hbm:hf_sword, Высокочастотный меч
hbm:ingot_steel, Стальной слиток
hbm:ingot_titanium, Титановый слиток
hbm:ingot_copper, Слиток промышленной меди
hbm:ingot_red_copper, Слиток красной меди
hbm:ingot_advanced_alloy, Слиток продвинутого сплава
hbm:ingot_tungsten, Вольфрамовый слиток
hbm:ingot_aluminium, Алюминиевый слиток
hbm:ingot_beryllium, Бериллевый слиток
hbm:ingot_lead, Свинцовый слиток
hbm:ingot_asbestos, Асбестовый лист
hbm:ingot_magnetized_tungsten, Намагниченный слиток вольфрама
hbm:ingot_combine_steel, Слиток CMB-стали
hbm:ingot_dura_steel, Высокоскоростная сталь
hbm:ingot_technetium, Слиток технеция-99
hbm:ingot_tcalloy, Слиток технециевой стали
hbm:ingot_cdalloy, Слиток кадмиевой стали
hbm:ingot_polymer, Полимер
hbm:ingot_bakelite, Слиток бакелита
hbm:ingot_rubber, Резина
hbm:ingot_biorubber, Слиток латекса
hbm:ingot_desh, Слиток деш
hbm:ingot_saturnite, Сатурнитовый слиток
hbm:ingot_ferrouranium, Слиток ферроурана
hbm:ingot_starmetal, §9Звёздный металл§r
hbm:ingot_osmiridium, Слиток осмиридия
hbm:ingot_euphemium, Эвфемиевый слиток
hbm:ingot_dineutronium, Динейтрониевый слиток
hbm:ingot_cadmium, Кадмиевый слиток
hbm:ingot_bismuth, Слиток висмута
hbm:ingot_arsenic, Арсениковый слиток
hbm:ingot_zirconium, Циркониевый куб
hbm:ingot_th232, Слиток тория-232
hbm:ingot_uranium, Урановый слиток
hbm:ingot_u233, Слиток урана-233
hbm:ingot_u235, Слиток урана-235
hbm:ingot_u238, Слиток урана-238
hbm:ingot_u238m2:0, Полустабильный слиток урана-238-2
hbm:ingot_plutonium, Плутониевый слиток
hbm:ingot_pu238, Слиток плутония-238
hbm:ingot_pu239, Слиток плутония-239
hbm:ingot_pu240, Слиток плутония-240
hbm:ingot_pu241, Слиток плутония-241
hbm:ingot_pu_mix, Слиток плутония реакторного качества
hbm:ingot_am241, Слиток америция-241
hbm:ingot_am242, Слиток америция-242
hbm:ingot_am_mix, Слиток америция реакторного качества
hbm:ingot_schraranium, Шрараниевый слиток
hbm:ingot_schrabidium, Шрабидиевый слиток
hbm:ingot_schrabidate, Слиток шрабидата железа
hbm:ingot_solinium, Солиниевый слиток
hbm:ingot_thorium_fuel, Слиток ториевого топлива
hbm:ingot_uranium_fuel, Слиток уранового топлива
hbm:ingot_mox_fuel, Слиток МОКС-топлива
hbm:ingot_plutonium_fuel, Слиток плутониевого топлива
hbm:ingot_neptunium_fuel, Слиток нептуниевого топлива
hbm:ingot_americium_fuel, Слиток америциевого топлива
hbm:ingot_les, Низкообогащенный слиток шрабидиевого топлива
hbm:ingot_schrabidium_fuel, Слиток шрабидиевого топлива
hbm:ingot_hes, Высокообогащенный слиток шрабидиевого топлива
hbm:ingot_neptunium, Нептуниевый слиток
hbm:ingot_tennessine, Теннессин-294 Слиток
hbm:ingot_polonium, Слиток полония-210
hbm:ingot_phosphorus, Брусок белого фосфора
hbm:ingot_boron, Борный слиток
hbm:ingot_graphite, Графитовый слиток
hbm:ingot_fiberglass, Стекловолокно
hbm:ingot_smore, Слиток с'мора
hbm:ingot_niobium, Ниобиевый слиток
hbm:ingot_actinium, Полустабильный слиток актиния
hbm:ingot_neodymium, Неодимовый слиток
hbm:ingot_bromine, Бромный слиток
hbm:ingot_caesium, Слиток цезия
hbm:ingot_cerium, Слиток церия
hbm:ingot_lanthanium, Полустабильный слиток лантана
hbm:ingot_tantalium, Танталовый слиток
hbm:ingot_astatine, Астатиновый слиток
hbm:ingot_firebrick, Огнеупорный кирпич
hbm:ingot_cobalt, Кобальтовый слиток
hbm:ingot_co60, Слиток кобальта-60
hbm:ingot_strontium, Слиток стронция
hbm:ingot_sr90, Слиток стронция-90
hbm:ingot_iodine, Йодный слиток
hbm:ingot_i131, Слиток Йода-131 
hbm:ingot_au198, Слиток золота-198
hbm:ingot_pb209, Слиток свинца-209
hbm:ingot_ra226, Слиток радия-226
hbm:ingot_ac227, Слиток Актиния-227 
hbm:ingot_gh336, Слиток Гиорзиума-336 
hbm:ingot_radspice, Жар-слиток
hbm:ingot_electronium:0, Электрониевый слиток
hbm:ingot_reiium, Реиевый слиток 
hbm:ingot_weidanium, Вейданиевый слиток
hbm:ingot_australium, Австралиевый слиток
hbm:ingot_verticium, Вертициевый слиток
hbm:ingot_unobtainium, Унобтаниевый слиток
hbm:ingot_daffergon, Даффергоновый слиток
hbm:ingot_steel_dusted:0, Запылённой стальной слиток
hbm:ingot_chainsteel, Тяжёлая цепная сталь
hbm:ingot_meteorite, Метеоритный слиток
hbm:ingot_meteorite_forged, Выкованный метеоритный слиток
hbm:blade_meteorite, Метеоритное лезвие
hbm:billet_th232, Заготовка тория-232
hbm:billet_uranium, Урановая заготовка
hbm:billet_u233, Заготовка урана-233
hbm:billet_u235, Заготовка урана-235
hbm:billet_u238, Заготовка урана-238
hbm:billet_plutonium, Заготовка плутония
hbm:billet_pu238, Заготовка плутония-238
hbm:billet_pu239, Заготовка плутония-239
hbm:billet_pu240, Заготовка плутония-240
hbm:billet_pu241, Заготовка плутония-241
hbm:billet_pu_mix, Заготовка плутония реакторного качества
hbm:billet_am241, Заготовка америция-241
hbm:billet_am242, Заготовка америция-242
hbm:billet_am_mix, Заготовка америция реакторного качества
hbm:billet_neptunium, Заготовка нептуния
hbm:billet_polonium, Заготовка полония-210
hbm:billet_technetium, Заготовка технеция-99
hbm:billet_co60, Заготовка кобальта-60
hbm:billet_sr90, Заготовка Стронция-90 
hbm:billet_au198, Заготовка золота-198
hbm:billet_pb209,  Заготовка из свинца-209
hbm:billet_ra226, Заготовка радия-226
hbm:billet_ac227,  Заготовка Актиния-227
hbm:billet_gh336, Заготовка Гиорзиума-336 
hbm:billet_beryllium, Бериллиевая заготовка
hbm:billet_bismuth, Висмутовая заготовка
hbm:billet_zirconium, Циркониевая заготовка
hbm:billet_zfb_bismuth, Висмутовая ЦБР-заготовка
hbm:billet_zfb_pu241, Пу-241 ЦБР-заготовка
hbm:billet_zfb_am_mix, Америциевая ЦБР-заготовка
hbm:billet_schrabidium, Заготовка шрабидия
hbm:billet_solinium, Солиниевая заготовка
hbm:billet_thorium_fuel, Заготовка ториевого топлива
hbm:billet_uranium_fuel, Заготовка уранового топлива
hbm:billet_mox_fuel, Заготовка МОКС-топлива
hbm:billet_plutonium_fuel, Заготовка плутониевого топлива
hbm:billet_neptunium_fuel, Заготовка нептуниевого топлива
hbm:billet_americium_fuel, Заготовка америциевого топлива
hbm:billet_les, Заготовка низкообогащенного шрабидиевого топлива
hbm:billet_schrabidium_fuel, Заготовка шрабидиевого топлива
hbm:billet_hes, Заготовка высокообогащенного шрабидиевого топлива
hbm:billet_po210be, Заготовка полония-210-Бериллия
hbm:billet_ra226be, Радий-226-Бериллиевая заготовка 
hbm:billet_pu238be, Плутоний-210-бериллиевая заготовка
hbm:billet_australium, Заготовка австралия
hbm:billet_australium_lesser, Заготовка низшего австралия
hbm:billet_australium_greater, Заготовка высшего австралия
hbm:billet_unobtainium, Унобтаниево-нейтронная заготовка
hbm:billet_yharonite, Заготовка яронита
hbm:billet_balefire_gold, Заготовка флэшголда
hbm:billet_flashlead, Заготовка флеш-свинца
hbm:billet_nuclear_waste, Заготовка ядерных отходов
hbm:bio_wafer, Био Вафли
hbm:nugget_uranium, Урановый самородок
hbm:nugget_u233, Самородок урана-233
hbm:nugget_u235, Самородок урана-235
hbm:nugget_u238, Самородок урана-238
hbm:nugget_u238m2:0, Метастабильный самородок U238-2
hbm:nugget_plutonium, Плутониевый самородок
hbm:nugget_pu238, Самородок плутония-238
hbm:nugget_pu239, Самородок плутония-239
hbm:nugget_pu240, Самородок плутония-240
hbm:nugget_th232, Самородок тория-232
hbm:nugget_pu241, Самородок плутония-241
hbm:nugget_pu_mix, Самородок плутония реакторного качества
hbm:nugget_am241, Самородок америция-241
hbm:nugget_am242, Самородок америция-242
hbm:nugget_am_mix, Самородок америция реакторного качества
hbm:nugget_technetium, Самородок технеция-99
hbm:nugget_neptunium, Нептуниевый самородок
hbm:nugget_polonium, Самородок полония-210
hbm:nugget_thorium_fuel, Самородок ториевого топлива
hbm:nugget_uranium_fuel, Самородок уранового топлива
hbm:nugget_mox_fuel, Самородок МОКС топлива
hbm:nugget_plutonium_fuel, Самородок плутониевого топлива
hbm:nugget_neptunium_fuel, Самородок нептуниевого топлива
hbm:nugget_americium_fuel, Самородок америциевого топлива
hbm:nugget_les, Низкообогащенный самородок шрабидиевого топлива
hbm:nugget_schrabidium_fuel, Самородок шрабидиевого топлива
hbm:nugget_hes, Высокообогащенный самородок шрабидиевого топлива
hbm:nugget_lead, Свинцовый самородок
hbm:nugget_beryllium, Бериллиевый самородок
